AK홀딩스,006840
CSA 코스믹,083660
F&F,007700
JTC,950170
KPX생명과학,114450
KT서브마린,060370
OQP,078590
WISCOM,024070
YTN,040300
경남스틸,039240
고영,098460
금호석유우,011785
네온테크,306620
넥슨지티,041140
녹십자홀딩스,005250
뉴로스,126870
대상홀딩스우,084695
대유에이텍,002880
대한방직,001070
덕신하우징,090410
덕양산업,024900
데브시스터즈,194480
동아화성,041930
두산,000150
두산퓨얼셀,336260
두산퓨얼셀1우,33626K
두산퓨얼셀2우B,33626L
듀오백,073190
디케이락,105740
러셀,217500
롯데하이마트,071840
릭스솔루션,029480
멕아이씨에스,058110
문배철강,008420
미래나노텍,095500
박셀바이오,323990
베셀,177350
부산산업,011390
브레인콘텐츠,066980
비나텍,126340
비비안,002070
빅히트,352820
삼목에스폼,018310
삼양통상,002170
삼진엘앤디,054090
삼현철강,017480
상신브레이크,041650
서남,294630
성안,011300
성우하이텍,015750
세동,053060
세방,004360
세방전지,004490
세화아이엠씨,145210
셀리버리,268600
시그네틱스,033170
신라에스지,025870
아모레G우,002795
아모레퍼시픽우,090435
아이디스,143160
에이디칩스,054630
에이비프로바이오,195990
에이에프더블류,312610
에프앤리퍼블릭,064090
엔바이오니아,317870
엔비티,236810
오가닉티코스메틱,900300
오리엔탈정공,014940
오리엔트바이오,002630
오리엔트정공,065500
오킨스전자,080580
와이엠티,251370
우노앤컴퍼니,114630
우리바이오,082850
우리이앤엘,153490
우리조명,037400
웹젠,069080
유니셈,036200
유성티엔에스,024800
이노인스트루먼트,215790
이디티,215090
인터로조,119610
인터파크,035080
인텍플러스,064290
인텔리안테크,189300
일양약품,007570
일진전기,103590
잇츠한불,226320
잉글우드랩,950140
전진바이오팜,110020
제주반도체,080220
지트리비앤티,115450
초록뱀,047820
컬러레이,900310
케이비아이동국실업,001620
코렌텍,104540
코미코,183300
코퍼스코리아,322780
키움증권,039490
키이스트,054780
평화산업,090080
평화홀딩스,010770
포스코케미칼,003670
피제이전자,006140
하이로닉,149980
하이트론,019490
한국비엔씨,256840
한국파마,032300
한국프랜지,010100
한라홀딩스,060980
한양이엔지,045100
한일현대시멘트,006390
한전산업,130660
한진중공업홀딩스,003480
AJ네트웍스,095570
AP위성,211270
BGF리테일,282330
GS글로벌,001250
IBKS제14호스팩,351320
KEC,092220
LG디스플레이,034220
LG우,003555
LG전자,066570
LG전자우,066575
S&T모티브,064960
S&T중공업,003570
S&T홀딩스,036530
SK렌터카,068400
WI,073570
가온미디어,078890
골드퍼시픽,038530
구영테크,053270
국동,005320
금호전기,001210
네이블,153460
넥센타이어,002350
녹원씨엔아이,065560
대동금속,020400
대동기어,008830
대원산업,005710
대유플러스,000300
동양에스텍,060380
동원금속,018500
동일제강,002690
디엠티,134580
디와이피엔에프,104460
로스웰,900260
매일홀딩스,005990
매커스,093520
메드팩토,235980
멜파스,096640
미래에셋벤처투자,100790
버킷스튜디오,066410
블루콤,033560
비덴트,121800
비츠로테크,042370
빛샘전자,072950
삼성제약,001360
삼양홀딩스,000070
서연이화,200880
서울옥션,063170
서플러스글로벌,140070
세종텔레콤,036630
세화피앤씨,252500
셀리드,299660
수산중공업,017550
수젠텍,253840
신라교역,004970
신성델타테크,065350
신세계건설,034300
신풍제약,019170
신풍제약우,019175
신화실업,001770
쎄트렉아이,099320
쎌마테라퓨틱스,015540
아스타,246720
아이에스이커머스,069920
아이엠이연이,090740
액션스퀘어,205500
에너토크,019990
에넥스,011090
에스엘,005850
에이스토리,241840
에프엔씨엔터,173940
엔에스,217820
엔에이치스팩17호,359090
엔지스테크널러지,208860
엔케이,085310
엔텔스,069410
엠게임,058630
엠투엔,033310
영보화학,014440
예스티,122640
우리산업,215360
우신시스템,017370
우진아이엔에스,010400
유바이오로직스,206650
이글루시큐리티,067920
이랜시스,264850
이엔에프테크놀로지,102710
이원컴포텍,088290
이화산업,000760
인팩,023810
자화전자,033240
제넨바이오,072520
제놀루션,225220
제이웨이,058420
제주은행,006220
진원생명과학,011000
캐리소프트,317530
케이아이엔엑스,093320
케이엔더블유,105330
켄코아에어로스페이스,274090
코디엠,224060
코아시아,045970
코오롱플라스틱,138490
코프라,126600
클라우드에어,036170
키네마스터,139670
키다리스튜디오,020120
태웅,044490
테라셈,182690
티엘아이,062860
티케이케미칼,104480
티플랙스,081150
평화정공,043370
포스코인터내셔널,047050
포인트모바일,318020
필룩스,033180
하이트진로2우B,000087
한국단자,025540
한국바이오젠,318000
한양디지텍,078350
한화,000880
한화3우B,00088K
현대글로비스,086280
현대위아,011210
화승알앤에이,013520
휴니드,005870
휴마시스,205470
흥국에프엔비,189980
DB하이텍,000990
GV,045890
LG헬로비전,037560
NEW,160550
NE능률,053290
NPC,004250
SBS콘텐츠허브,046140
SK네트웍스,001740
SM Life Design,063440
THE E&M,089230
광진실업,026910
광진윈텍,090150
